Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
"When a NWL result comes back to the patient file via VetXml, an email gets sent to the person that generated the form To be able to select who receives the email or add a second recipient",CE-658,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,02/09/2024 10:12,02/09/2024 10:12,"When a NWL result comes back to the patient file via VetXml, an email gets sent to the person that generated the form
*To be able to select who receives the email or add a second recipient*",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,VP Willows Winsfold,,,,,,,Whoever generated the Lab form for external labs is getting emailed when the results are returned to the file. Can this be changed to the vet named on the request form? or this added as well?,,,,,,,,,,,"Vet in charge of case missing the prompt of the results being returned, delay contacting owner regarding treatment",,02/09/2024 10:12
Go Cardless - Button in a patients record to push the data through,CE-657,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,23/08/2024 10:08,23/08/2024 12:08,"We would like to be able to click on a button in a patients record and push the data through to gocardless.

Ideally we would like Merlin to notice when a go Cardless collection is active or inactive too.",,Steven Freitas,,5eed2c15a6a7110ab57d358c,,,,,,,,Apex Vets Ltd,,,,,,,"Automate more of the systems associated with the healthy pets club payments to  to < staff costs and increase accuracy.

We want integrated registrations (Auto API the client and pet details to GoCardless) and also have auto updates into merlin if a plan is live or not.   Also the option of liking the refreshing of plans if possible.",,,,,,,,,,,>> Time managing payments.   Errors inputing e.mail addresses manually.  ,,23/08/2024 10:08
"""Forgot Password"" self-service funtion",CE-656,Idea,Idea Pipeline,Minor,Jake Thompson,Jake Thompson,14/08/2024 15:27,14/08/2024 15:27,"""Forgot Password"" self-service function on login screen",,Jake Thompson,,610a4caa627b5600681ae343,,,,,,,,VP Willows,,,,,,,"“Currently when users forget their password they have to contact a superuser within the business to reset it for them to access Merlin - we are requesting a ""forgot password"" option as is available in nearly every IT system in the world now so they can reset this themselves.”",,,,,,,,,,,“Our team currently are resetting around 2-3 every day and also are asked to do this on weekends as we run a 24 hour service.”,,14/08/2024 15:27
CSV report for Payments/Daily Payment to match the generated PDF in format and contents,CE-655,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,29/07/2024 13:03,29/07/2024 13:03,"_CSV report for Payments/Daily Payment to match the generated PDF in format and contents_
PDF shows just totals and CSV shows individual transactions without totals",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Kingdom Veterinary Clinic,,,,,Finance/Accounts,,PDF reports show daily totals whereas CSV reports show individual transactions.  Would like CSV reports to show the same information as the PDFs (daily totals) to hopefully allow import into accounting software. ,,,,,,,,,,,Information has to be manually input into accounting software.,,29/07/2024 13:03
 To have two site logos on one URL for MWIpet. Practice have two sites each with their own logo,CE-654,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,26/07/2024 12:59,26/07/2024 12:59,|To have two site logos on one URL for MWIpet. Practice have two sites each with their own logo|,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved user experience,,,Danmak Care Ltd (Portside),,,,,,,Practice has two sites with different logos,,,,,,,,,,,Wrong logo would show for one of the sites,,26/07/2024 12:59
"In report wizard under treatment, to have a column for cost",CE-653,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,25/07/2024 16:15,25/07/2024 16:15,"In report wizard under treatment, to have a column for cost before mark up and dispensing",,,,,,,,,,,,Pets 'n' Vets,,,,,,,I need to have a true cost of wastage when dealing with out of date  /damaged or breached stock . Currently can see lost revenue costs only ,,,,,,,,,,,Unable to see the true monetary cots to the business for out of date stock ,,25/07/2024 16:15
  Extend diary column rows for Repeat Prescriptions,CE-652,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,17/07/2024 14:35,17/07/2024 14:35,"  _Extend diary column rows for Repeat Prescriptions_
",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,,,,,,,,"|More space to add prescriptions when we have used all available slots in the prescription column.|
| |",,,,,,,,,,,"|Needing to put prescriptions in other spaces which could result in prescription medication being missed. Also time consuming to put prescription into another section as you need to manually access the client files to find out the medication. Extending the columns to add an extra section will make the screen busier than it currently is, so this is also not ideal.|
| |",,17/07/2024 14:35
View amendments made to clinical notes in Merlin,CE-651,Idea,Idea Pipeline,Minor,Jake Thompson,Jake Thompson,17/07/2024 10:40,17/07/2024 10:41,Add the ability to view edits made to clinical notes by Merlin users,,Jake Thompson,,610a4caa627b5600681ae343,,,,,Additional functionality,,,Victoria Veterinary Centre,,,,,Clinical,,“Being unable to see whether or not clinical notes have been edited at a later date”,,,,,,,,,,,"Currently, this is not possible to view in Merlin, meaning users cannot see if changes have been made to clinical notes by other users in the past",,17/07/2024 10:40
Internal messages divert or populate OOH messages when set to holiday,CE-650,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,10/07/2024 13:34,10/07/2024 13:34,Have internal messages redirect/ auto populate OOH message when the user is set to on holiday,,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,,,,,,,,Messages not being picked up or actioned while away or on holiday,,,,,,,,,,,Actions missed resulting in anything from admin tasks to poor customer service etc,,10/07/2024 13:34
Option to filter by site in review messages sent,CE-649,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,10/07/2024 11:32,10/07/2024 11:32,In  Administration> SMS Messaging> Review messages sent have the option to filter SMS by site.,,,,,,,,,,,,VP Willows - Head Office,,,,,,,"Reviewing sms sent by each branch, being able to filter review by site as we have 22 sites rather than manually count through entire system list for all sites",,,,,,,,,,,time consuming to manually separate out results into sites,,10/07/2024 11:32
When booking an appointment through the diary can the clients pop up be displayed,CE-648,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,10/07/2024 11:05,10/07/2024 11:05,When booking an appointment through the diary can the clients pop up be displayed,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,,,,Pet Vet Ltd. (Thornhill - M),,,,,,,Site uses the pop up to state no appointments when booking through the diary the pop up is not shown,,,,,,,,,,,Appointments are booked for clients that have been set to no appointment,,10/07/2024 11:05
Signature feature for outgoing emails from Merlin,CE-647,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,08/07/2024 09:09,08/07/2024 09:09,Wanting to have functionality to have a signature feature for outgoing emails from Merlin ,,,,,,,,,,,,The Veterinary Clinic,,,,,,,Adding a footer on the emails sent from Merlin,,,,,,,,,,,No Professional,,08/07/2024 09:09
 Specify Imported Animal Status on Submission Forms,CE-646,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,05/07/2024 11:38,05/07/2024 11:38,"|Specify Imported Animal Status on Submission Forms|

| |",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,,,,,,,,,Clinical,,|This is now mandatory information required with each submission|,,,,,,,,,,,|Possible  Zoonosis risk|,,05/07/2024 11:38
 Controlled drugs register integrated into Merlin,CE-645,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,04/07/2024 14:45,04/07/2024 14:45, Controlled drugs register integrated into Merlin,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Additional functionality,,,Hird & Partners LLP Veterinary Surgeons (Halifax-M),,,,,Clinical,,Moving to online controlled drugs register,,,,,,,,,,,Paper based register is not great cause to many errors,,04/07/2024 14:45
Replace the clients contact ID with the patients microchip number in patient labels,CE-644,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,04/07/2024 11:38,04/07/2024 11:38,Replace the clients contact ID with the patients microchip number in patient labels,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Old Stone Vets (Main - Alston),,,,,,,Putting microchip numbers on patient label,,,,,,,,,,,Time consuming & open to errors when hand writing number,,04/07/2024 11:38
Merge field for surgeons qualification and number to show on prescription,CE-643,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,04/07/2024 09:30,18/07/2024 15:52,Getting RCVS numbers on prescriptions automatically when prescription is generated,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,,,,Old Stone Vets (Main - Alston),,,,,,,Getting RCVS numbers on prescriptions,,,,,,,,,,,Time consuming adding them on by hand,,04/07/2024 09:30
Repeat Prescriptions should not disappear from the Repeat Prescriptions within Patient History after 6 months,CE-642,Idea,Idea Pipeline,Minor,Andrew Frye,Andrew Frye,03/07/2024 17:18,29/07/2024 13:22,"There was some planned code added into Merlin which prevents Prescriptions showing within the Repeat Prescriptions Patient History tab after 6 months. This is due to regulations on Repeat Prescriptions being allowed to dispense for up to 6 months.

However, practices would like to keep viewing these within the Prescription tab even after they expire (after 6 months).",,Andrew Frye,,5eed2c1402b4400ac4dc0b09,,,,,Improved Reporting,,,"PDSA, VetPartners",,,,,Client/Patient Management,,"Customers have advised that they must be able to provide proof to RCVS that they are dispensing and selling Repeat Prescriptions, but after 6 months these no longer show within the Prescriptions tab. 

There is currently no way to prove that they are issueing these repeat prescriptions except showing the ones that are currently “active”. 

There is no trace and evidence that the prescriptions have ever been created (they do still exist in the database but not in Merlin).",,,,,,,,,,,"There is a risk that the RCVS organisation will believe that the practice(s) are not dispensing Prescriptions.

There is no way for the practice to prove that they have been active in prescribing correctly when these disappear.",,03/07/2024 17:18
Request to speed up Debtor Runs,CE-641,Idea,Idea Pipeline,Minor,Andrew Frye,Andrew Frye,02/07/2024 09:26,02/07/2024 09:26,"The customer have reported that a Debtors Run would only take seconds to generate up until March/April 2024, where this changed to around a minute or two to complete.

Finance> Debtors> Run.

Support suspected that a Merlin Upgrade from 2.3.82.15 to 2.3.83.19 was the cause of this as these upgrade dates coincided with when the customer stated it slowed down, but no code changes were identified by Development between these builds.

The customer have raised this as they would like Debtor Run speeds to return to how quickly they were taking.",,Andrew Frye,,5eed2c1402b4400ac4dc0b09,,,,,Improved user experience,,,Donaldson's Vets Limited,,,,,Reporting,,We would like Debtor Runs to take less time to complete.,,,,,,,,,,,Running Debtors takes longer for the practice and slows the Monthend process down.,,02/07/2024 09:26
To put a reason in the clinical notes every time any medication is prescribed,CE-640,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,28/06/2024 14:36,28/06/2024 14:36,To put a reason in the clinical notes every time any medication is prescribed,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved Reporting,,,Donaldson's Vets Limited (Somerset Road-M),,,,,,,Compliance with the recent changes in prescription regulations,,,,,,,,,,,Non-compliance and the possibility of fines for prescribers,,28/06/2024 14:36
VAT Rate greyed out for monetary credits,CE-639,Idea,Idea Pipeline,Minor,Pratima Gurung,Pratima Gurung,26/06/2024 10:49,05/07/2024 14:36,"The practice has raised a question about not being able to select the VAT rate for monetary credits as other Transactions such as Discounts, Refunds etc.

On the Merlin account screen, transactions such as refunds, discounts, surcharges, etc can change the VAT Rate via the drop-down menu when adding as Monetary however for Credits this field is greyed out.

Practice does not accept that this has always been greyed out and locked. They also advised they have been using this function to process transactions for years and have only recently found it locked when following existing processes. 

Practice stated “If this is a feature of the software, please explain the logic behind locking the VAT code in Monetary credit but not in Monetary discount and other credit and discount functions. Otherwise, this is a bug and needs to be fixed

To recreate please follow the below steps: 

# Search for a client on the reception screen 
# Go to the account screen 
# Click on Credits and select the Monetary Tab",,Pratima Gurung,,5eed354270fb110aba57b4fa,,,,,Improved workflow,,,"WVS (Shetland) Vet, VP Willows - Head Office",,,,,Finance/Accounts,,"To have VAT Rate enabled for monetary credits same as other Transactions with monetary tab for Discounts, Refunds etc",,,,,,,,,,,Practice unable to select the VAT Rate when performing Monetary credits on the Merlin system ,,26/06/2024 10:49
batch numbers on chicken drug labels,CE-638,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,21/06/2024 09:04,21/06/2024 09:04," Enable batch numbers to be printed onto labels as an option, that can be enabled so it is not for all species/ patients. ",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,,,,,,,,"|New vet medicine regulations tightening up the requirements to batch trace medication given to back yard poultry. We are a small animal only practice and sdon’t want to batch trace everything. We only batch record vaccines. We would however like batch tracing medication by species whereby any medication given to (for example) a chicken is subject to batch tracing.|
| |",,,,,,,,,,,"|The need to manually record batched on labels of each drugs dispensed – huge time sponge.|
| |",,21/06/2024 09:04
Able to log off user outside Merlin,CE-637,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,19/06/2024 10:43,19/06/2024 10:43,"

# Providing the user has been granted any appropriate permissions - if all licenses are in use, preventing a successful log in attempt, present the ""Log Off Users"" tool.
# Provide an option for easier user switching.  Providing a license is already in use through a successful login, an example of this could be each user has their own unique user pin. ",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Hythe Veterinary Centre,,,,,Administration,,"1A) If all licenses are ""logged in"" but not in use (eg power failure) then would circumvent need to contact IT.

1B) Reduce in clinic work if a license needs to be logged off of an un-used PC elsewhere in the building.

# Unreliable messages system/ consistent use of inappropriate users (ie due to the current effort to fully log out/ in, users are encouraged to use the log-in for different staff members) ",,,,,,,,,,,"1A) extra work for Merlin IT and delayed solutions for practice.

1B) Stress

2. reduced ability to track user actions and manage permissions etc.",,19/06/2024 10:43
"Add a ""task"" button, with functionality as shown in this video from ProVet, would enable easier communications and management of individuals.      https://player.vimeo.com/video/933205630?h=89ba6ec356&badge=0&autopause=0&player_id=0&app_id=58479",CE-636,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,19/06/2024 10:35,19/06/2024 10:35,"Add a ""task"" button, with functionality as shown in this video from ProVet, would enable easier communications and management of individuals.  



[https://player.vimeo.com/video/933205630?h=89ba6ec356&badge=0&autopause=0&player_id=0&app_id=58479|https://player.vimeo.com/video/933205630?h=89ba6ec356&badge=0&autopause=0&player_id=0&app_id=58479|smart-link] ",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Additional functionality,,,Hythe Veterinary Centre,,,,,Administration,,Unreliable system to schedule future tasks.  Work-arounds currently used to assign tasks to individuals and in-built systems are not adequate.,,,,,,,,,,,"Work-arounds used which impact user experience + have led to problems at the level of our clients (eg ""appointments"" opened after closing hours for veterinary surgeons to see their own tasks, which clients have received reminders for)",,19/06/2024 10:35
Report for how many written prescriptions have been generated,CE-635,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,19/06/2024 10:11,19/06/2024 10:11,Wanting a report to advise how many written prescriptions have been generated  ,,,,,,,,,,,,Cobham Park Veterinary Clinic,,,,,,,Knowing how may have been done ,,,,,,,,,,,audit of how many we do,,19/06/2024 10:11
Create a way to filter unpaid invoices in Merlin (Through debtors or account screen),CE-634,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,13/06/2024 14:30,13/06/2024 14:30,Create a way to filter and send unpaid invoices to a client from Debtors and or account screen,,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,,,,,,,,"|Get a list of all invoices that a client HAS NOT paid so they can be emailed out.|
| |",,,,,,,,,,,"|It is not eas to tell clients what invoices they have paid for and what they haven't|
| |",,13/06/2024 14:30
Report for Batch - Expiry Dates by stock center ,CE-633,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,13/06/2024 11:07,13/06/2024 11:07,Report for Batch - Expiry Dates by stock center ,,,,,,,,,,,,Equus Vets,,,,,,,That stock centres (vets cars) is not a drop down option on the report for batch page ,,,,,,,,,,,Stock is going OOD in vets cars or being returned to the practice with a very short date left on it ,,13/06/2024 11:07
To make SUMMIT another wholesale option,CE-632,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,06/06/2024 14:10,06/06/2024 14:10,To make SUMMIT another wholesale option,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Additional functionality,,,Banstead Village Veterinary Surgery,,,,,ASN,,|Create a new Wholesaler option - Summit|,,,,,,,,,,,Unable to specify if a product is from a certain wholesaler - making it hard to keep up to date with stock levels as they are not on auto-order,,06/06/2024 14:10
Allow HCP to be highlighted in different colours to differentiate old and current plans ,CE-631,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,03/06/2024 14:48,03/06/2024 14:48,_Allow HCP to be highlighted in different colours to differentiate old and current plans_ ,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Additional functionality,,,Village Vets Formby (Main),,,,,HCP,,_To differentiate old and current plans more efficiently._ ,,,,,,,,,,,_Not being able to establish the difference between plans. Sometimes the team assume the client is on our current plan and this can cause issues._,,03/06/2024 14:48
 Improvement in lab result layout allowing the report to be viewed in a meaningful manner,CE-630,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,03/06/2024 09:54,03/06/2024 09:54, _Improvement in lab result layout allowing the report to be viewed in a meaningful manner_,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Apex Vets Ltd.,,,,,Lab,,"*XML lab reports from Natiowide labs now import to Merlin but the layout is bad making the report unreadable, see examples of patient no* 2531 from 24/5/24.  Patient 15865 Kitti lab report from 18/5 displays well (XML import) but there is duplication under the “Lab Requests” heading with a “summcom” line, does this come from the lab or the translation?",,,,,,,,,,,*Need to get email attachments of a PDF of the report form the lab and then attach each on e manually to the clinical history*,,03/06/2024 09:54
  Report to show what is owing per client,CE-628,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,30/05/2024 14:31,30/05/2024 14:31,"We can't currently send the client a list of all invoices that they owe money on, in one step",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Additional functionality,,,Downe Vet Clinic,,,,,Finance/Accounts,,"We can't currently send the client a list of all invoices that they owe money on, in one step",,,,,,,,,,,"It is a convoluted process to individually email invoices owing, taking time",,30/05/2024 14:31
List of prevous printed labels ,CE-627,Idea,Idea Pipeline,Minor,Oscar Waldorf,Oscar Waldorf,28/05/2024 15:05,28/05/2024 15:05,Wanting to see a list of previous printed labels ,,,,,,,,,,,,Stringer Equine Veterinary Practice,,,,,,,Printing trail for address labels,,,,,,,,,,,So we check to see where orders have been sent,,28/05/2024 15:05
